X,Y,aridity,bio1,bio2,bio12,bio15,bio20,bedrockDepth,bulkDensity1_4,clay1_4,ph1_4,silt1_4
-119.55627982430806,39.33601749136873,-1429,101,158,237,40,281,311,1462,193,720,272
-118.05103200440618,44.033327796043245,-823,70,162,314,40,279,359,1355,202,685,419
-115.59766805218763,43.11982721477532,-967,103,156,305,53,236,244,1449,184,727,439
-120.88026118739353,43.8502128737485,-794,63,166,309,37,349,246,1338,165,704,352
-115.23357545596608,43.11982721477532,-864,84,156,360,52,216,129,1377,219,683,401
-118.94202647607054,42.57416766367812,-833,79,157,260,26,391,423,1386,241,744,398
-118.88501393957556,43.02875877371557,-869,81,165,257,25,408,381,1400,213,754,393
-118.63210941141645,42.211383708522554,-1008,95,165,217,28,421,552,1406,216,788,370
-117.64951141238267,43.21094621734653,-933,89,168,262,28,391,318,1420,217,741,406
-119.47551712053952,48.401362739692644,-796,94,131,300,30,401,260,1360,139,708,420
-117.7098832715867,43.75873395249152,-946,95,162,264,34,354,248,1429,214,742,385
-117.48516535770209,43.57593209131226,-892,87,163,291,31,359,293,1416,210,748,421
-118.15750709464966,43.02875877371557,-904,84,167,257,27,394,332,1406,223,742,409
-118.41127080810993,42.93774068370815,-700,64,146,330,27,340,278,1342,219,685,394
-120.41076147964228,39.69293407126965,-819,83,176,686,72,112,180,1240,172,617,290
-116.13901290155964,42.030283572434016,-801,70,167,323,29,330,371,1370,240,715,406
-118.61002786916757,38.09210407527965,-1096,76,190,230,37,332,453,1435,176,748,296
-118.90637691150143,38.26931242861777,-859,56,195,287,41,301,416,1402,171,720,288
-119.68972555807551,42.39267786876127,-664,61,143,346,29,350,248,1358,225,695,361
-120.62129514119971,42.664986432004326,-710,68,147,382,36,293,365,1314,168,724,361
-119.58156502613033,42.30200643535458,-736,70,147,307,27,363,286,1418,240,716,358
-120.0511491437278,42.39267786876127,-734,72,149,352,30,310,337,1353,219,700,346
-119.67781125417594,42.48339821057575,-632,58,141,367,29,351,270,1348,210,702,364
-114.92122950178579,42.1208094874706,-652,57,143,346,24,406,290,1331,217,701,394
-119.65045708302317,43.94174408130387,-640,53,146,380,32,321,210,1292,192,664,378
-114.9041331610745,42.211383708522554,-805,72,157,282,27,453,266,1375,204,727,423
-121.39373143711427,43.48460871557027,-759,56,174,418,52,251,164,1218,131,621,317
-120.66047376650931,41.488131449371735,-860,84,170,372,42,241,292,1401,257,696,342
-120.22782576405193,41.21769164570166,-546,53,135,514,38,259,193,1207,167,627,343
-120.33175639788448,41.307791630189655,-667,70,149,462,38,258,174,1289,207,655,336
-121.2307942669751,41.668659012723424,-858,88,162,363,42,223,293,1401,237,691,338
-120.46602194968509,41.21769164570166,-846,84,170,367,39,275,248,1396,246,709,335
-120.21513327649663,40.05054303195369,-787,75,161,473,57,172,222,1350,154,664,271
-120.46971567489152,39.96107526824875,-744,70,165,653,66,127,139,1208,156,615,293
-120.27341118043297,39.78227096403812,-931,87,189,460,63,149,321,1327,200,659,281
-118.72580305648061,38.09210407527965,-922,65,197,267,42,306,549,1440,170,734,280
-121.02150941525774,40.14005477296706,-695,79,154,962,75,87,85,1166,142,592,326
-118.98875633185884,41.488131449371735,-641,65,126,345,29,329,252,1351,219,707,356
-119.2589469761833,41.307791630189655,-888,93,144,242,30,317,459,1431,218,765,334
-119.16812092314417,41.84937586644706,-764,77,138,272,25,371,377,1417,203,749,354
-116.04552116041171,43.39333675446702,-905,101,147,334,47,237,238,1452,178,717,427
-111.21307786893993,25.434621613336887,-3076,216,164,285,127,799,5,1471,416,789,213
-115.72838181895206,41.668659012723424,-688,51,160,369,27,355,193,1331,214,669,372
-120.35971841404496,40.49854508781694,-971,91,179,324,51,210,371,1456,244,729,332
-120.7145923378962,40.49854508781694,-737,68,160,537,57,166,123,1235,152,627,305
-120.51285604643888,40.94766911645887,-799,70,170,366,38,275,319,1352,257,700,342
-115.93274091580663,41.84937586644706,-686,54,162,378,28,338,204,1283,209,662,362
-119.73269108531038,40.678058784352714,-906,94,153,270,37,276,570,1472,251,756,328
-119.88118907625314,39.96107526824875,-922,91,165,313,46,221,296,1440,220,717,321
-119.5794818198728,40.85775345464308,-813,86,139,282,32,293,321,1434,240,739,342
-119.70625185632915,39.69293407126965,-1235,102,170,229,42,267,353,1503,181,750,274
-119.79036293624561,39.33601749136873,-946,91,167,279,52,217,325,1390,162,676,260
-119.90090668331993,41.75899368104125,-673,68,135,385,35,275,284,1366,258,693,363
-110.37900750634523,43.11982721477532,-576,14,173,451,17,439,327,1229,230,647,399
-119.8338901267841,40.76788340570187,-861,88,151,286,36,271,428,1464,262,725,332
